"City","Count"
"Adjuntas",1
"Aguada",2
"Aguadilla",5
"Amsterdam",297
"Anasco",1
"Baltimore",60
"Barcelona",366
"Bayamon",1
"Berlin",410
"Boqueron",1
"Boston",73
"Branson West",5
"Cabo Rojo",1
"Caguas",1
"Calistoga",15
"Champaign",18
"Chicago",125
"Cidra",1
"Dallas",106
"Daytona Beach",89
"Dorado",2
"Dubai",204
"Dublin",1
"Fajardo",3
"Guanica",1
"Hana",2
"Hatillo",2
"Hauula",2
"Hollister",1
"Hong Kong",125
"Honolulu",8
"Humacao",1
"Indianapolis",136
"Isabela",5
"Isla Verde",14
"Istanbul",459
"Jayuya",1
"Ka'anapali",1
"Kahuku",1
"Kahului",2
"Kaneohe",1
"Kapalua",2
"Kapolei",3
"Kihei",3
"Kissimmee",92
"Lahaina",29
"Lajas",1
"Las Marias",1
"Las Vegas",130
"London",416
"Los Angeles",199
"Luquillo",1
"Madrid",321
"Makawao",1
"Makena",1
"Mayaguez",2
"Memphis",58
"Mexico City",101
"Miami",105
"Montreal",127
"Napa",24
"New Orleans",77
"New York City",224
"Ocean City",95
"Orlando",67
"Paia",1
"Paris",421
"Patillas",2
"Philadelphia",21
"Phoenix",130
"Playa del Carmen",143
"Ponce",6
"Quebradillas",2
"Rincon",5
"Rio Grande",4
"Rome",890
"Rutherford",1
"San Diego",206
"San Francisco",55
"San German",1
"San Juan",37
"Seattle",109
"Singapore",179
"St. Helena",5
"Sydney",145
"Toronto",96
"Utuado",1
"Vancouver",82
"Venice",305
"Wailea",5
"Yabucoa",2
"Yountville",5
